funder_name,country,total_articles,open_data_articles,open_code_articles,open_data_pct,open_code_pct,funder_type,funder_id,is_alias_group,pdf_covered,xml_only
Ministry of Education,Korea,362,28,10,7.7,2.8,,F4320321408,False,121,241
Semmelweis Egyetem,HU,220,17,11,7.7,5.0,,F4320321102,False,114,106
Amgen,USA,310,24,25,7.7,8.1,,F4320307105,False,115,195
National Institute for Health Research Applied Research Collaboration West,UK,130,10,6,7.7,4.6,,F4320337232,False,25,105
Università degli Studi di Napoli Federico II,Italy,145,11,7,7.6,4.8,,F4320309590,False,88,57
Tanta University,EG,170,13,3,7.6,1.8,,F4320324798,False,106,64
Charité – Universitätsmedizin Berlin,Germany,442,33,30,7.5,6.8,,F4320321526,False,317,125
Mansoura University,EG,373,28,7,7.5,1.9,,F4320325716,False,244,129
Capital Medical University,China,108,8,6,7.4,5.6,,F4320321496,False,70,38
"Ministry of Health, Labour and Welfare",Japan,324,24,5,7.4,1.5,,F4320321945,False,146,178
Science Fund of the Republic of Serbia,RS,151,11,1,7.3,0.7,,F4320329307,False,47,104
Chiang Mai University,Thailand,246,18,2,7.3,0.8,,F4320321529,False,104,142
"Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii",RO,181,13,6,7.2,3.3,,F4320323983,False,83,98
Natural Science Foundation of Liaoning Province,China,276,20,7,7.2,2.5,,F4320323086,False,121,155
Ministry of Education of the People's Republic of China,China,222,16,5,7.2,2.3,,F4320321106,False,126,96
Novartis Pharmaceuticals Corporation,USA,140,10,14,7.1,10.0,,F4320310388,False,64,76
Università Cattolica del Sacro Cuore,Italy,127,9,6,7.1,4.7,,F4320323405,False,78,49
Scientific and Technological Research Council of Turkey (TUBITAK),Turkey,794,56,26,7.1,3.3,,F4320322626,False,343,451
Universitätsklinikum Tübingen,Germany,182,13,16,7.1,8.8,,F4320333403,False,141,41
"Khalifa University of Science, Technology and Research",AE,115,8,14,7.0,12.2,,F4320322334,False,57,58
Ministry of Health and Welfare,Korea,201,14,9,7.0,4.5,,F4320322034,False,81,120
King Saud University,Saudi Arabia,1100,76,12,6.9,1.1,,F4320321145,False,465,635
Novartis Pharma,Germany,101,7,9,6.9,8.9,,F4320332736,False,56,45
Cairo University,EG,595,41,11,6.9,1.8,,F4320321148,False,435,160
Osaka University,Japan,117,8,4,6.8,3.4,,F4320322451,False,85,32
Gobierno de Aragón,Spain,148,10,4,6.8,2.7,,F4320326208,False,35,113
University of Manchester,UK,105,7,9,6.7,8.6,,F4320320291,False,22,83
Minia University,EG,150,10,4,6.7,2.7,,F4320327648,False,112,38
Tel Aviv University,Israel,244,16,20,6.6,8.2,,F4320322596,False,170,74
Financiadora de Estudos e Projetos,Brazil,154,10,5,6.5,3.2,,F4320322904,False,46,108
United Arab Emirates University,AE,140,9,7,6.4,5.0,,F4320323593,False,61,79
"Ministry of Science and Technology, Government of the People’s Republic of Bangladesh",BD,140,9,8,6.4,5.7,,F4320325390,False,47,93
King Abdulaziz University,Saudi Arabia,140,9,7,6.4,5.0,,F4320322322,False,71,69
China Medical University,China,171,11,10,6.4,5.8,,F4320324301,False,91,80
National Social Science Fund of China,China,578,37,16,6.4,2.8,,F4320335869,False,294,284
Korea Medical Device Development Fund,Korea,126,8,4,6.3,3.2,,F4320318847,False,78,48
UNICEF,USA,146,9,2,6.2,1.4,,F4320309209,False,78,68
"Ministerie van Onderwijs, Cultuur en Wetenschap",Netherlands,115,7,5,6.1,4.3,,F4320321799,False,16,99
Ruhr-Universität Bochum,Germany,131,8,14,6.1,10.7,,F4320323715,False,88,43
Postdoctoral Research Foundation of China,China,115,7,2,6.1,1.7,,F4320335443,False,40,75
Alexandria University,EG,450,27,3,6.0,0.7,,F4320326056,False,311,139
Fundo para o Desenvolvimento das Ciências e da Tecnologia,MO,199,12,7,6.0,3.5,,F4320323893,False,88,111
Ministry of Food and Drug Safety,Korea,205,12,9,5.9,4.4,,F4320322014,False,105,100
Agency for Healthcare Research and Quality,USA,222,13,10,5.9,4.5,,F4320332177,False,80,142
Syddansk Universitet,Denmark,221,13,9,5.9,4.1,,F4320323799,False,138,83
Universitätsklinikum Heidelberg,Germany,204,12,14,5.9,6.9,,F4320330130,False,162,42
London School of Hygiene and Tropical Medicine,UK,137,8,9,5.8,6.6,,F4320311430,False,73,64
Natural Science Foundation of Shaanxi Province,China,226,13,5,5.8,2.2,,F4320324173,False,108,118
Universitas Padjadjaran,ID,140,8,3,5.7,2.1,,F4320329092,False,51,89
Seoul National University Hospital,Korea,122,7,6,5.7,4.9,,F4320322557,False,91,31
Iran University of Medical Sciences,Iran,108,6,6,5.6,5.6,,F4320313199,False,48,60
Addis Ababa University,ET,143,8,3,5.6,2.1,,F4320324791,False,66,77
Natural Science Foundation of Xinjiang Province,China,162,9,7,5.6,4.3,,F4320311028,False,52,110
Svenska Läkaresällskapet,Sweden,126,7,15,5.6,11.9,,F4320324618,False,45,81
Humanities and Social Science Fund of Ministry of Education of China,China,128,7,3,5.5,2.3,,F4320335982,False,59,69
Taipei Medical University,Taiwan,109,6,5,5.5,4.6,,F4320322814,False,47,62
Universitätsklinikum Köln,Germany,166,9,3,5.4,1.8,,F4320327730,False,133,33
National Taiwan University Hospital,Taiwan,131,7,5,5.3,3.8,,F4320323422,False,62,69
Innosuisse - Schweizerische Agentur für Innovationsförderung,Switzerland,113,6,9,5.3,8.0,,F4320327931,False,47,66
"Ministry of Trade, Industry and Energy",Korea,535,28,20,5.2,3.7,,F4320321681,False,224,311
Shiraz University of Medical Sciences,Iran,157,8,5,5.1,3.2,,F4320322545,False,87,70
Manipal University,India,273,14,4,5.1,1.5,,F4320322932,False,163,110
Tabriz University of Medical Sciences,Iran,120,6,5,5.0,4.2,,F4320322587,False,71,49
Deakin University,Australia,122,6,8,4.9,6.6,,F4320320970,False,70,52
Shiraz University,Iran,144,7,6,4.9,4.2,,F4320323101,False,82,62
National and Kapodistrian University of Athens,Greece,104,5,3,4.8,2.9,,F4320323149,False,58,46
Mashhad University of Medical Sciences,Iran,124,6,4,4.8,3.2,,F4320322855,False,46,78
Prince Sattam bin Abdulaziz University,Saudi Arabia,192,9,3,4.7,1.6,,F4320311227,False,70,122
King Faisal University,Saudi Arabia,112,5,2,4.5,1.8,,F4320331156,False,50,62
Hong Kong Polytechnic University,Hong Kong,163,7,5,4.3,3.1,,F4320322598,False,68,95
Universitätsklinikum Erlangen,Germany,164,7,8,4.3,4.9,,F4320330129,False,114,50
Chang Gung Medical Foundation,Taiwan,230,10,4,4.3,1.7,,F4320322767,False,113,117
Princess Nourah Bint Abdulrahman University,Saudi Arabia,340,14,2,4.1,0.6,,F4320322484,False,120,220
Taif University,Saudi Arabia,149,6,3,4.0,2.0,,F4320323722,False,43,106
Bulgarian National Science Fund,BG,128,5,2,3.9,1.6,,F4320321843,False,33,95
Alzheimer's Drug Discovery Foundation,USA,105,4,9,3.8,8.6,,F4320307132,False,31,74
Wenzhou Municipal Science and Technology Bureau,China,105,4,5,3.8,4.8,,F4320324224,False,61,44
Institute for Information and Communications Technology Promotion,Korea,189,7,14,3.7,7.4,,F4320335489,False,107,82
"Swedish Research Council for Health, Working Life and Welfare (Forte)",Sweden,382,14,19,3.7,5.0,,F4320324004,False,147,235
"Deanship of Scientific Research, King Faisal University",Saudi Arabia,163,6,3,3.7,1.8,,F4320322804,False,62,101
King Khalid University,Saudi Arabia,251,9,4,3.6,1.6,,F4320324433,False,122,129
Boston Scientific Corporation,USA,111,4,4,3.6,3.6,,F4320310567,False,41,70
Hiroshima University,Japan,117,4,2,3.4,1.7,,F4320322166,False,90,27
Health Technology Assessment Programme,UK,148,5,3,3.4,2.0,,F4320334661,False,41,107
Uniwersytet Medyczny im. Piastów Slaskich we Wroclawiu,Poland,156,5,0,3.2,0.0,,F4320325938,False,48,108
Qatar National Library,QA,222,7,2,3.2,0.9,,F4320334468,False,93,129
Department of Education of Liaoning Province,China,131,4,2,3.1,1.5,,F4320324560,False,65,66
Korea Institute for Advancement of Technology,Korea,160,5,9,3.1,5.6,,F4320322064,False,49,111
Hacettepe Üniversitesi,Turkey,100,3,2,3.0,2.0,,F4320323272,False,61,39
Ministerul Educaţiei Naţionale,RO,115,3,3,2.6,2.6,,F4320322145,False,10,105
H2020 Future and Emerging Technologies,,124,3,7,2.4,5.6,,F4320338336,False,12,112
Hamad Medical Corporation,QA,103,2,2,1.9,1.9,,F4320310110,False,50,53
Taipei Veterans General Hospital,Taiwan,107,2,1,1.9,0.9,,F4320327358,False,46,61
University of Health Sciences Lahore,Pakistan,111,1,0,0.9,0.0,,F4320319221,False,78,33
